"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1192",643932,"/api/v1.1/game/643932/feed/live","R","2021","2021-07-30T23:30:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643932-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,13,33,42,".440",550,"South Bend Cubs","/api/v1/teams/550",7,TRUE,FALSE,13,49,26,".653",565,"Quad Cities River Bandits","/api/v1/teams/565",2790,"Modern Woodmen Park","/api/v1/venues/2790","/api/v1/game/643932/content",NA,NA,NA,NA,NA,NA,NA
"1193",644090,"/api/v1.1/game/644090/feed/live","R","2021","2021-07-30T23:35:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-644090-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,13,33,43,".434",554,"Beloit Snappers","/api/v1/teams/554",4,FALSE,FALSE,13,30,46,".395",443,"Peoria Chiefs","/api/v1/teams/443",2821,"Dozer Park","/api/v1/venues/2821","/api/v1/game/644090/content",NA,NA,NA,NA,NA,NA,NA
"1194",642721,"/api/v1.1/game/642721/feed/live","R","2021","2021-07-31T00:05:00Z","2021-07-30",FALSE,1,TRUE,"Y","Y","N","44-642721-2021-07-30","2021","night",7,FALSE,NA,7,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,13,29,46,".387",460,"Tri-City Dust Devils","/api/v1/teams/460",5,TRUE,FALSE,13,34,40,".459",419,"Hillsboro Hops","/api/v1/teams/419",4429,"Ron Tonkin Field","/api/v1/venues/4429","/api/v1/game/642721/content",NA,NA,NA,NA,NA,NA,NA
"1195",642846,"/api/v1.1/game/642846/feed/live","R","2021","2021-07-31T00:10:00Z","2021-07-30",FALSE,2,TRUE,"Y","Y","N","44-642846-2021-07-30","2021","night",7,FALSE,NA,7,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",TRUE,"F",NA,7,TRUE,FALSE,13,30,46,".395",460,"Tri-City Dust Devils","/api/v1/teams/460",1,FALSE,FALSE,13,34,41,".453",419,"Hillsboro Hops","/api/v1/teams/419",4429,"Ron Tonkin Field","/api/v1/venues/4429","/api/v1/game/642846/content","2021-06-13T20:05:00Z","2021-06-13","Makeup of 6/13 PPD",NA,NA,NA,NA
"1196",643878,"/api/v1.1/game/643878/feed/live","R","2021","2021-07-31T00:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643878-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,13,43,33,".566",492,"Cedar Rapids Kernels","/api/v1/teams/492",5,FALSE,FALSE,13,37,39,".487",572,"Wisconsin Timber Rattlers","/api/v1/teams/572",2771,"Fox Cities Stadium","/api/v1/venues/2771","/api/v1/game/643878/content",NA,NA,NA,NA,NA,NA,NA
"1197",642641,"/api/v1.1/game/642641/feed/live","R","2021","2021-07-31T01:30:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-642641-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,FALSE,FALSE,13,34,42,".447",435,"Vancouver Canadians","/api/v1/teams/435",15,TRUE,FALSE,13,36,40,".474",486,"Spokane Indians","/api/v1/teams/486",2730,"Avista Stadium","/api/v1/venues/2730","/api/v1/game/642641/content",NA,NA,NA,NA,NA,NA,NA
"1198",642804,"/api/v1.1/game/642804/feed/live","R","2021","2021-07-31T02:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-642804-2021-07-30","2021","night",9,FALSE,120,7,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,13,44,32,".579",461,"Eugene Emeralds","/api/v1/teams/461",9,FALSE,FALSE,13,49,26,".653",403,"Everett AquaSox","/api/v1/teams/403",2762,"Funko Field","/api/v1/venues/2762","/api/v1/game/642804/content",NA,NA,NA,NA,NA,NA,NA
"1199",643319,"/api/v1.1/game/643319/feed/live","R","2021","2021-07-31T21:00:00Z","2021-07-31",FALSE,1,TRUE,"N","Y","N","44-643319-2021-07-31","2021","night",9,FALSE,NA,6,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,13,39,38,".506",428,"Greenville Drive","/api/v1/teams/428",7,TRUE,FALSE,13,34,42,".447",448,"Hickory Crawdads","/api/v1/teams/448",2796,"L.P. Frans Stadium","/api/v1/venues/2796","/api/v1/game/643319/content",NA,NA,NA,NA,NA,NA,NA
"1200",643179,"/api/v1.1/game/643179/feed/live","R","2021","2021-07-31T22:00:00Z","2021-07-31",FALSE,1,TRUE,"N","Y","N","44-643179-2021-07-31","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,13,32,43,".427",573,"Asheville Tourists","/api/v1/teams/573",3,TRUE,FALSE,13,37,40,".481",432,"Rome Braves","/api/v1/teams/432",2851,"State Mutual Stadium","/api/v1/venues/2851","/api/v1/game/643179/content",NA,NA,NA,NA,NA,NA,NA
"1201",643328,"/api/v1.1/game/643328/feed/live","R","2021","2021-07-31T22:05:00Z","2021-07-31",FALSE,1,TRUE,"N","Y","N","44-643328-2021-07-31","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,13,32,45,".416",426,"Wilmington Blue Rocks","/api/v1/teams/426",5,TRUE,FALSE,13,49,28,".636",537,"Hudson Valley Renegades","/api/v1/teams/537",2757,"Dutchess Stadium","/api/v1/venues/2757","/api/v1/game/643328/content",NA,NA,NA,NA,NA,NA,NA
