"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1082",587833,"/api/v1.1/game/587833/feed/live","R","2019","2019-05-24T00:30:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587833-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,14,23,19,".548",520,"Pericos de Puebla","/api/v1/teams/520",2,FALSE,FALSE,13,19,23,".452",528,"Rieleros de Aguascalientes","/api/v1/teams/528",2929,"Estadio Alberto Romo Chavez","/api/v1/venues/2929","/api/v1/game/587833/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083",587893,"/api/v1.1/game/587893/feed/live","R","2019","2019-05-24T00:30:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587893-2019-05-23","2019","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,12,23,16,".590",532,"Diablos Rojos del Mexico","/api/v1/teams/532",1,FALSE,FALSE,11,22,20,".524",502,"Saraperos de Saltillo","/api/v1/teams/502",2953,"Parque Francisco I. Madero","/api/v1/venues/2953","/api/v1/game/587893/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084",587292,"/api/v1.1/game/587292/feed/live","R","2019","2019-05-24T00:30:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587292-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,14,24,18,".571",579,"Guerreros de Oaxaca","/api/v1/teams/579",3,FALSE,FALSE,13,14,25,".359",447,"Algodoneros Union Laguna","/api/v1/teams/447",2956,"Estadio de la Revolucion","/api/v1/venues/2956","/api/v1/game/587292/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085",587472,"/api/v1.1/game/587472/feed/live","R","2019","2019-05-24T00:30:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587472-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",14,TRUE,FALSE,12,18,24,".429",434,"Bravos de Leon","/api/v1/teams/434",8,FALSE,FALSE,14,16,26,".381",4444,"Generales de Durango","/api/v1/teams/4444",5321,"Estadio Francisco Villa","/api/v1/venues/5321","/api/v1/game/587472/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086",587773,"/api/v1.1/game/587773/feed/live","R","2019","2019-05-24T01:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587773-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,12,24,18,".571",536,"Tecolotes de los Dos Laredos","/api/v1/teams/536",3,FALSE,FALSE,14,13,29,".310",523,"Piratas de Campeche","/api/v1/teams/523",2949,"Parque Nelson Barrera Romellon","/api/v1/venues/2949","/api/v1/game/587773/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087",587653,"/api/v1.1/game/587653/feed/live","R","2019","2019-05-24T01:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587653-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,13,30,12,".714",560,"Acereros del Norte","/api/v1/teams/560",4,TRUE,FALSE,12,15,27,".357",442,"Olmecas de Tabasco","/api/v1/teams/442",2955,"Parque Centenario 27 de Febrero","/api/v1/venues/2955","/api/v1/game/587653/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088",587592,"/api/v1.1/game/587592/feed/live","R","2019","2019-05-24T01:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-587592-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,TRUE,FALSE,13,27,15,".643",562,"Sultanes de Monterrey","/api/v1/teams/562",1,FALSE,FALSE,14,19,23,".452",496,"Leones de Yucatan","/api/v1/teams/496",2959,"Parque Kukulkan","/api/v1/venues/2959","/api/v1/game/587592/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089",588073,"/api/v1.1/game/588073/feed/live","R","2019","2019-05-24T01:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-588073-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,14,30,12,".714",5010,"Toros de Tijuana","/api/v1/teams/5010",4,FALSE,FALSE,13,16,26,".381",569,"Tigres de Quintana Roo","/api/v1/teams/569",3929,"Estadio De Beisbol Beto Avila","/api/v1/venues/3929","/api/v1/game/588073/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090",579439,"/api/v1.1/game/579439/feed/live","R","2019","2019-05-24T01:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-579439-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,12,19,29,".396",2310,"Reno Aces","/api/v1/teams/2310",10,TRUE,FALSE,12,31,17,".646",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/579439/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091",579653,"/api/v1.1/game/579653/feed/live","R","2019","2019-05-24T02:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-579653-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,12,23,25,".479",342,"Albuquerque Isotopes","/api/v1/teams/342",1,TRUE,FALSE,12,27,21,".563",400,"Las Vegas Aviators","/api/v1/teams/400",5355,"Las Vegas Ballpark","/api/v1/venues/5355","/api/v1/game/579653/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
