"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","resumeDate","resumeGameDate","rescheduleDate","rescheduleGameDate","status.reason","resumedFrom","resumedFromDate","rescheduledFrom","rescheduledFromDate","description"
"480",578834,"/api/v1.1/game/578834/feed/live","R","2019","2019-07-27T23:00:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578834-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,15,18,23,".439",571,"Connecticut Tigers","/api/v1/teams/571",2,FALSE,FALSE,15,16,24,".400",577,"Tri-City ValleyCats","/api/v1/teams/577",2792,"Joseph L. Bruno Stadium","/api/v1/venues/2792","/api/v1/game/578834/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481",578798,"/api/v1.1/game/578798/feed/live","R","2019","2019-07-27T23:00:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578798-2019-07-27","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,15,26,14,".650",558,"Lowell Spinners","/api/v1/teams/558",4,TRUE,FALSE,15,20,21,".488",586,"Staten Island Yankees","/api/v1/teams/586",2836,"Richmond County Bank Ballpark","/api/v1/venues/2836","/api/v1/game/578798/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",578530,"/api/v1.1/game/578530/feed/live","R","2019","2019-07-27T23:05:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578530-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,15,14,27,".341",449,"Williamsport Crosscutters","/api/v1/teams/449",0,FALSE,FALSE,15,24,18,".571",511,"Batavia Muckdogs","/api/v1/teams/511",2758,"Dwyer Stadium","/api/v1/venues/2758","/api/v1/game/578530/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",578758,"/api/v1.1/game/578758/feed/live","R","2019","2019-07-27T23:05:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578758-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,15,21,19,".525",5020,"West Virginia Black Bears","/api/v1/teams/5020",4,TRUE,FALSE,15,22,20,".524",1174,"State College Spikes","/api/v1/teams/1174",2912,"Medlar Field at Lubrano Park","/api/v1/venues/2912","/api/v1/game/578758/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484",578143,"/api/v1.1/game/578143/feed/live","R","2019","2019-07-28T01:15:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578143-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,12,27,16,".628",419,"Hillsboro Hops","/api/v1/teams/419",8,TRUE,FALSE,12,17,26,".395",480,"Boise Hawks","/api/v1/teams/480",2810,"Memorial Stadium","/api/v1/venues/2810","/api/v1/game/578143/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485",578330,"/api/v1.1/game/578330/feed/live","R","2019","2019-07-28T01:30:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578330-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,13,17,26,".395",435,"Vancouver Canadians","/api/v1/teams/435",2,TRUE,FALSE,13,25,18,".581",486,"Spokane Indians","/api/v1/teams/486",2730,"Avista Stadium","/api/v1/venues/2730","/api/v1/game/578330/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",578293,"/api/v1.1/game/578293/feed/live","R","2019","2019-07-28T01:35:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578293-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,12,19,24,".442",461,"Eugene Emeralds","/api/v1/teams/461",3,FALSE,FALSE,12,28,15,".651",578,"Salem-Keizer Volcanoes","/api/v1/teams/578",2859,"Volcanoes Stadium","/api/v1/venues/2859","/api/v1/game/578293/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487",578213,"/api/v1.1/game/578213/feed/live","R","2019","2019-07-28T02:05:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578213-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,13,18,25,".419",460,"Tri-City Dust Devils","/api/v1/teams/460",4,FALSE,FALSE,13,21,22,".488",403,"Everett AquaSox","/api/v1/teams/403",2762,"Funko Field","/api/v1/venues/2762","/api/v1/game/578213/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",578799,"/api/v1.1/game/578799/feed/live","R","2019","2019-07-28T17:00:00Z","2019-07-28",FALSE,1,TRUE,"N","Y","N","44-578799-2019-07-28","2019","day",9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,15,26,15,".634",558,"Lowell Spinners","/api/v1/teams/558",3,TRUE,FALSE,15,21,21,".500",586,"Staten Island Yankees","/api/v1/teams/586",2836,"Richmond County Bank Ballpark","/api/v1/venues/2836","/api/v1/game/578799/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489",578494,"/api/v1.1/game/578494/feed/live","R","2019","2019-07-28T20:00:00Z","2019-07-28",FALSE,1,TRUE,"N","Y","N","44-578494-2019-07-28","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,15,22,21,".512",545,"Mahoning Valley Scrappers","/api/v1/teams/545",10,TRUE,FALSE,15,17,25,".405",458,"Auburn Doubledays","/api/v1/teams/458",2763,"Falcon Park","/api/v1/venues/2763","/api/v1/game/578494/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",578460,"/api/v1.1/game/578460/feed/live","R","2019","2019-07-28T20:05:00Z","2019-07-28",FALSE,1,TRUE,"N","Y","N","44-578460-2019-07-28","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,15,24,17,".585",537,"Hudson Valley Renegades","/api/v1/teams/537",0,FALSE,FALSE,15,25,18,".581",488,"Aberdeen IronBirds","/api/v1/teams/488",2837,"Leidos Field at Ripken Stadium","/api/v1/venues/2837","/api/v1/game/578460/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491",578835,"/api/v1.1/game/578835/feed/live","R","2019","2019-07-28T21:00:00Z","2019-07-28",FALSE,1,TRUE,"N","Y","N","44-578835-2019-07-28","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,15,19,23,".452",571,"Connecticut Tigers","/api/v1/teams/571",0,FALSE,FALSE,15,16,25,".390",577,"Tri-City ValleyCats","/api/v1/teams/577",2792,"Joseph L. Bruno Stadium","/api/v1/venues/2792","/api/v1/game/578835/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
