"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1384",566695,"/api/v1.1/game/566695/feed/live","R","2019","2019-06-10T23:10:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-566695-2019-06-10","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,23,34,34,".500",133,"Oakland Athletics","/api/v1/teams/133",6,TRUE,FALSE,22,41,24,".631",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/566695/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",565057,"/api/v1.1/game/565057/feed/live","R","2019","2019-06-10T23:10:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-565057-2019-06-10","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,22,35,30,".538",140,"Texas Rangers","/api/v1/teams/140",3,FALSE,FALSE,22,34,33,".507",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/565057/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1386",567391,"/api/v1.1/game/567391/feed/live","R","2019","2019-06-10T23:10:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-567391-2019-06-10","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,22,32,32,".500",138,"St. Louis Cardinals","/api/v1/teams/138",1,FALSE,FALSE,22,23,41,".359",146,"Miami Marlins","/api/v1/teams/146",4169,"Marlins Park","/api/v1/venues/4169","/api/v1/game/567391/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",567193,"/api/v1.1/game/567193/feed/live","R","2019","2019-06-10T23:20:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-567193-2019-06-10","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,22,30,35,".462",134,"Pittsburgh Pirates","/api/v1/teams/134",13,TRUE,FALSE,22,37,29,".561",144,"Atlanta Braves","/api/v1/teams/144",4705,"SunTrust Park","/api/v1/venues/4705","/api/v1/game/567193/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388",567295,"/api/v1.1/game/567295/feed/live","R","2019","2019-06-11T00:10:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-567295-2019-06-10","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,12,TRUE,FALSE,22,31,35,".470",120,"Washington Nationals","/api/v1/teams/120",1,FALSE,FALSE,22,31,34,".477",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/567295/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1389",565445,"/api/v1.1/game/565445/feed/live","R","2019","2019-06-11T00:40:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-565445-2019-06-10","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,23,37,28,".569",112,"Chicago Cubs","/api/v1/teams/112",6,TRUE,FALSE,22,34,31,".523",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/565445/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1390",564769,"/api/v1.1/game/564769/feed/live","R","2019","2019-06-11T02:07:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-564769-2019-06-10","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,22,45,22,".672",119,"Los Angeles Dodgers","/api/v1/teams/119",5,TRUE,FALSE,23,32,35,".478",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/564769/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1391",567491,"/api/v1.1/game/567491/feed/live","R","2019","2019-06-10T23:05:00Z","2019-06-11",NA,1,TRUE,"N","P","N","14-567491-2019-06-10","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","D","Postponed","DR",FALSE,"F","Rain",NA,NA,FALSE,22,32,34,".485",121,"New York Mets","/api/v1/teams/121",NA,NA,FALSE,22,41,24,".631",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/567491/content",NA,"2019-06-11T17:05:00Z","2019-06-11",NA,NA,NA,NA,NA,NA
"1392",567491,"/api/v1.1/game/567491/feed/live","R","2019","2019-06-11T17:05:00Z","2019-06-11",FALSE,1,TRUE,"S","P","N","14-567491-2019-06-11","2019","day",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,22,32,34,".485",121,"New York Mets","/api/v1/teams/121",12,TRUE,FALSE,22,41,24,".631",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/567491/content","Makeup of 6/10 PPD",NA,NA,"2019-06-10T23:05:00Z","2019-06-10",NA,NA,NA,NA
"1393",567492,"/api/v1.1/game/567492/feed/live","R","2019","2019-06-11T23:05:00Z","2019-06-11",FALSE,2,TRUE,"S","P","N","14-567492-2019-06-11","2019","night",9,FALSE,145,2,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,22,33,34,".493",121,"New York Mets","/api/v1/teams/121",4,FALSE,FALSE,22,41,25,".621",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/567492/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
