"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"2078",587370,"/api/v1.1/game/587370/feed/live","R","2019","2019-07-12T00:15:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-587370-2019-07-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,24,48,30,".615",560,"Acereros del Norte","/api/v1/teams/560",7,TRUE,FALSE,23,32,45,".416",434,"Bravos de Leon","/api/v1/teams/434",5320,"Parque Domingo Santana","/api/v1/venues/5320","/api/v1/game/587370/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2079",587310,"/api/v1.1/game/587310/feed/live","R","2019","2019-07-12T00:30:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-587310-2019-07-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",14,TRUE,FALSE,25,39,37,".513",496,"Leones de Yucatan","/api/v1/teams/496",3,FALSE,FALSE,25,23,51,".311",447,"Algodoneros Union Laguna","/api/v1/teams/447",2956,"Estadio de la Revolucion","/api/v1/venues/2956","/api/v1/game/587310/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2080",587851,"/api/v1.1/game/587851/feed/live","R","2019","2019-07-12T00:30:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-587851-2019-07-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",10,FALSE,FALSE,26,27,47,".365",523,"Piratas de Campeche","/api/v1/teams/523",12,TRUE,FALSE,25,32,46,".410",528,"Rieleros de Aguascalientes","/api/v1/teams/528",2929,"Estadio Alberto Romo Chavez","/api/v1/venues/2929","/api/v1/game/587851/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2081",587911,"/api/v1.1/game/587911/feed/live","R","2019","2019-07-12T00:30:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-587911-2019-07-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,25,37,41,".474",569,"Tigres de Quintana Roo","/api/v1/teams/569",8,TRUE,FALSE,23,38,39,".494",502,"Saraperos de Saltillo","/api/v1/teams/502",2953,"Parque Francisco I. Madero","/api/v1/venues/2953","/api/v1/game/587911/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2082",579462,"/api/v1.1/game/579462/feed/live","R","2019","2019-07-12T01:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-579462-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,23,38,53,".418",342,"Albuquerque Isotopes","/api/v1/teams/342",8,FALSE,FALSE,23,56,35,".615",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/579462/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2083",580233,"/api/v1.1/game/580233/feed/live","R","2019","2019-07-12T02:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-580233-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,23,46,45,".505",259,"Fresno Grizzlies","/api/v1/teams/259",8,TRUE,FALSE,23,47,43,".522",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Raley Field","/api/v1/venues/2529","/api/v1/game/580233/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2084",579672,"/api/v1.1/game/579672/feed/live","R","2019","2019-07-12T02:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-579672-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,23,39,51,".433",561,"Salt Lake Bees","/api/v1/teams/561",13,TRUE,FALSE,23,52,39,".571",400,"Las Vegas Aviators","/api/v1/teams/400",5355,"Las Vegas Ballpark","/api/v1/venues/5355","/api/v1/game/579672/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2085",580439,"/api/v1.1/game/580439/feed/live","R","2019","2019-07-12T02:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-580439-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",12,TRUE,FALSE,23,40,51,".440",2310,"Reno Aces","/api/v1/teams/2310",7,FALSE,FALSE,23,43,48,".473",529,"Tacoma Rainiers","/api/v1/teams/529",2745,"Cheney Stadium","/api/v1/venues/2745","/api/v1/game/580439/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2086",587731,"/api/v1.1/game/587731/feed/live","R","2019","2019-07-11T22:00:00Z","2019-07-11",NA,1,TRUE,"Y","Y","N","44-587731-2019-07-11","2019","night",7,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","C","Cancelled","CR",FALSE,"F",NA,NA,FALSE,24,48,28,".632",562,"Sultanes de Monterrey","/api/v1/teams/562",NA,NA,FALSE,25,41,35,".539",520,"Pericos de Puebla","/api/v1/teams/520",2869,"Estadio Hermanos Serdan","/api/v1/venues/2869","/api/v1/game/587731/content",NA,NA,NA,"Rain",NA,NA,NA,NA,NA,NA
"2087",587730,"/api/v1.1/game/587730/feed/live","R","2019","2019-07-11T08:33:00Z","2019-07-11",NA,2,TRUE,"Y","Y","N","44-587730-2019-07-11","2019","day",7,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","C","Cancelled","CR",TRUE,"F",NA,NA,FALSE,24,48,28,".632",562,"Sultanes de Monterrey","/api/v1/teams/562",NA,NA,FALSE,25,41,35,".539",520,"Pericos de Puebla","/api/v1/teams/520",2869,"Estadio Hermanos Serdan","/api/v1/venues/2869","/api/v1/game/587730/content","Make-up of 7/10 PPD",NA,NA,"Rain","2019-07-11T00:00:00Z","2019-07-10",NA,NA,NA,NA
